hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.3333333333333333,0.0,0.0,0.06,0.0,0.06,0.3
0.3333333333333333,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.3333333333333333,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.3333333333333333,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.3333333333333333,0.0,0.0,0.06,0.0,0.06,0.3
0.3333333333333333,0.0,0.0,0.02,0.0,0.02,0.09999999999999999
0.3333333333333333,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.3333333333333333,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.3333333333333333,0.0,0.0,0.1,0.0,0.1,0.5
0.3333333333333333,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.3333333333333333,0.022222222222222223,0.04,0.1,0.1111111111111111,0.14,0.5625
0.3333333333333333,0.022222222222222223,0.04,0.12,0.1111111111111111,0.16,0.6749999999999999
0.3333333333333333,0.022222222222222223,0.0,0.1,0.1111111111111111,0.1,0.5625
0.3333333333333333,0.022222222222222223,0.02,0.08,0.1111111111111111,0.1,0.45
0.3333333333333333,0.022222222222222223,0.04,0.08,0.1111111111111111,0.12,0.45
0.3333333333333333,0.022222222222222223,0.0,0.02,0.1111111111111111,0.02,0.1125
0.3333333333333333,0.022222222222222223,0.04,0.08,0.1111111111111111,0.12,0.45
0.3333333333333333,0.022222222222222223,0.06,0.16,0.1111111111111111,0.22,0.9
0.3333333333333333,0.022222222222222223,0.0,0.14,0.1111111111111111,0.14,0.7875000000000001
0.3333333333333333,0.022222222222222223,0.02,0.04,0.1111111111111111,0.06,0.225
0.3333333333333333,0.044444444444444446,0.08,0.12,0.2222222222222222,0.2,0.7714285714285714
0.3333333333333333,0.044444444444444446,0.06,0.12,0.2222222222222222,0.18,0.7714285714285714
0.3333333333333333,0.044444444444444446,0.02,0.14,0.2222222222222222,0.16,0.9
